absolutetime;channel;note;time;type;velocity
0;9;39;0;note_on;80
0;0;58;0;note_on;80
0;0;46;0;note_on;80
0;0;61;0;note_on;80
0;0;70;0;note_on;80
240;0;70;0;note_on;80
240;0;70;240;note_off;64
240;0;61;0;note_off;64
240;0;58;0;note_off;64
240;0;46;0;note_off;64
240;0;61;0;note_on;80
240;0;46;0;note_on;80
240;0;58;0;note_on;80
480;9;39;0;note_on;80
480;9;39;480;note_off;64
720;0;46;0;note_on;80
720;0;61;0;note_on;80
720;0;70;480;note_off;64
720;0;61;0;note_off;64
720;0;58;0;note_off;64
720;0;46;0;note_off;64
720;0;70;0;note_on;80
720;0;58;0;note_on;80
960;9;39;480;note_off;64
960;9;39;0;note_on;80
1200;0;58;0;note_on;80
1200;0;61;0;note_on;80
1200;0;70;0;note_on;80
1200;0;46;0;note_off;64
1200;0;46;0;note_on;80
1200;0;70;480;note_off;64
1200;0;61;0;note_off;64
1200;0;58;0;note_off;64
1440;9;39;0;note_on;80
1440;9;39;480;note_off;64
1680;0;58;0;note_off;64
1680;0;61;0;note_on;80
1680;0;58;0;note_on;80
1680;0;46;0;note_on;80
1680;0;70;0;note_on;80
1680;0;61;0;note_off;64
1680;0;46;0;note_off;64
1680;0;70;480;note_off;64
1920;9;39;480;note_off;64
1920;9;39;0;note_on;80
1920;0;70;240;note_off;64
1920;0;61;0;note_off;64
1920;0;58;0;note_off;64
1920;0;46;0;note_off;64
2160;0;70;240;note_on;80
2160;0;61;0;note_on;80
2160;0;58;0;note_on;80
2160;0;46;0;note_on;80
2400;9;39;480;note_off;64
2400;9;39;0;note_on;80
2640;0;70;0;note_on;80
2640;0;46;0;note_off;64
2640;0;61;0;note_on;80
2640;0;61;0;note_off;64
2640;0;70;480;note_off;64
2640;0;58;0;note_off;64
2640;0;58;0;note_on;80
2640;0;46;0;note_on;80
2880;9;39;480;note_off;64
2880;9;39;0;note_on;80
3120;0;46;0;note_on;80
3120;0;58;0;note_on;80
3120;0;61;0;note_on;80
3120;0;70;0;note_on;80
3120;0;46;0;note_off;64
3120;0;58;0;note_off;64
3120;0;61;0;note_off;64
3120;0;70;480;note_off;64
3360;9;39;480;note_off;64
3360;9;39;0;note_on;80
3600;0;61;0;note_off;64
3600;0;58;0;note_on;80
3600;0;70;480;note_off;64
3600;0;70;0;note_on;80
3600;0;58;0;note_off;64
3600;0;46;0;note_off;64
3600;0;61;0;note_on;80
3600;0;46;0;note_on;80
3720;9;39;0;note_on;80
3720;9;39;360;note_off;64
3840;0;70;0;note_on;80
3840;0;61;0;note_on;80
3840;0;58;0;note_on;80
3840;0;58;0;note_off;64
3840;9;39;120;note_off;64
3840;0;61;0;note_off;64
3840;0;70;240;note_off;64
3840;9;39;0;note_on;80
3840;0;46;0;note_off;64
3840;0;46;0;note_on;80
4080;0;61;0;note_on;80
4080;0;58;0;note_on;80
4080;0;46;0;note_off;64
4080;0;46;0;note_on;80
4080;0;58;0;note_off;64
4080;0;61;0;note_off;64
4080;0;70;240;note_off;64
4080;0;70;0;note_on;80
4320;9;39;0;note_on;80
4320;9;39;480;note_off;64
4560;0;58;0;note_on;80
4560;0;61;0;note_on;80
4560;0;70;0;note_on;80
4560;0;46;0;note_off;64
4560;0;58;0;note_off;64
4560;0;61;0;note_off;64
4560;0;46;0;note_on;80
4560;0;70;480;note_off;64
4800;9;39;480;note_off;64
4800;9;39;0;note_on;80
5040;0;46;0;note_on;80
5040;0;58;0;note_on;80
5040;0;70;0;note_on;80
5040;0;46;0;note_off;64
5040;0;58;0;note_off;64
5040;0;61;0;note_off;64
5040;0;70;480;note_off;64
5040;0;61;0;note_on;80
5280;9;39;480;note_off;64
5280;9;39;0;note_on;80
5520;0;46;0;note_on;80
5520;0;58;0;note_on;80
5520;0;61;0;note_on;80
5520;0;70;0;note_on;80
5520;0;46;0;note_off;64
5520;0;58;0;note_off;64
5520;0;61;0;note_off;64
5520;0;70;480;note_off;64
5760;9;39;480;note_off;64
5760;9;39;0;note_on;80
5760;0;61;0;note_off;64
5760;0;70;240;note_off;64
5760;0;58;0;note_off;64
5760;0;46;0;note_off;64
6000;0;70;240;note_on;80
6000;0;61;0;note_on;80
6000;0;58;0;note_on;80
6000;0;46;0;note_on;80
6240;9;39;0;note_on;80
6240;9;39;480;note_off;64
6480;0;70;480;note_off;64
6480;0;61;0;note_off;64
6480;0;70;0;note_on;80
6480;0;58;0;note_off;64
6480;0;46;0;note_off;64
6480;0;61;0;note_on;80
6480;0;58;0;note_on;80
6480;0;46;0;note_on;80
6720;9;39;480;note_off;64
6720;9;39;0;note_on;80
6960;0;46;0;note_on;80
6960;0;58;0;note_on;80
6960;0;70;0;note_on;80
6960;0;61;0;note_on;80
6960;0;70;480;note_off;64
6960;0;61;0;note_off;64
6960;0;58;0;note_off;64
6960;0;46;0;note_off;64
7200;9;39;0;note_on;80
7200;9;39;480;note_off;64
7440;0;58;0;note_on;80
7440;0;70;480;note_off;64
7440;0;61;0;note_off;64
7440;0;58;0;note_off;64
7440;0;46;0;note_off;64
7440;0;70;0;note_on;80
7440;0;46;0;note_on;80
7440;0;61;0;note_on;80
7560;9;39;0;note_on;80
7560;9;39;360;note_off;64
7680;0;46;0;note_on;80
7680;0;58;0;note_on;80
7680;0;61;0;note_on;80
7680;0;70;0;note_on;80
7680;0;46;0;note_off;64
7680;0;58;0;note_off;64
7680;0;61;0;note_off;64
7680;0;70;240;note_off;64
7680;9;39;0;note_on;80
7680;9;39;120;note_off;64
7920;0;70;240;note_off;64
7920;0;61;0;note_off;64
7920;0;46;0;note_on;80
7920;0;61;0;note_on;80
7920;0;70;0;note_on;80
7920;0;46;0;note_off;64
7920;0;58;0;note_off;64
7920;0;58;0;note_on;80
8160;9;39;480;note_off;64
8160;9;39;0;note_on;80
8400;0;70;480;note_off;64
8400;0;61;0;note_off;64
8400;0;46;0;note_off;64
8400;0;70;0;note_on;80
8400;0;61;0;note_on;80
8400;0;58;0;note_on;80
8400;0;46;0;note_on;80
8400;0;58;0;note_off;64
8640;9;39;480;note_off;64
8640;9;39;0;note_on;80
8880;0;46;0;note_on;80
8880;0;58;0;note_on;80
8880;0;61;0;note_on;80
8880;0;70;480;note_off;64
8880;0;46;0;note_off;64
8880;0;58;0;note_off;64
8880;0;61;0;note_off;64
8880;0;70;0;note_on;80
9120;9;39;480;note_off;64
9120;9;39;0;note_on;80
9360;0;70;480;note_off;64
9360;0;58;0;note_off;64
9360;0;46;0;note_off;64
9360;0;70;0;note_on;80
9360;0;61;0;note_on;80
9360;0;58;0;note_on;80
9360;0;46;0;note_on;80
9360;0;61;0;note_off;64
9600;9;39;0;note_on;80
9600;9;39;480;note_off;64
9600;0;70;240;note_off;64
9600;0;61;0;note_off;64
9600;0;58;0;note_off;64
9600;0;46;0;note_off;64
9840;0;61;0;note_on;80
9840;0;70;240;note_on;80
9840;0;46;0;note_on;80
9840;0;58;0;note_on;80
10080;9;39;0;note_on;80
10080;9;39;480;note_off;64
10320;0;46;0;note_off;64
10320;0;70;0;note_on;80
10320;0;61;0;note_on;80
10320;0;58;0;note_on;80
10320;0;61;0;note_off;64
10320;0;70;480;note_off;64
10320;0;58;0;note_off;64
10320;0;46;0;note_on;80
10560;9;39;0;note_on;80
10560;9;39;480;note_off;64
10800;0;70;480;note_off;64
10800;0;58;0;note_off;64
10800;0;61;0;note_off;64
10800;0;46;0;note_on;80
10800;0;58;0;note_on;80
10800;0;61;0;note_on;80
10800;0;70;0;note_on;80
10800;0;46;0;note_off;64
11040;9;39;480;note_off;64
11040;9;39;0;note_on;80
11280;0;70;0;note_on;80
11280;0;61;0;note_on;80
11280;0;46;0;note_on;80
11280;0;46;0;note_off;64
11280;0;58;0;note_off;64
11280;0;61;0;note_off;64
11280;0;58;0;note_on;80
11280;0;70;480;note_off;64
11400;9;39;360;note_off;64
11400;9;39;0;note_on;80
11520;0;70;0;note_on;80
11520;0;70;240;note_off;64
11520;0;61;0;note_off;64
11520;0;58;0;note_off;64
11520;0;46;0;note_off;64
11520;9;39;120;note_off;64
11520;0;61;0;note_on;80
11520;0;58;0;note_on;80
11520;2;34;11520;note_on;80
11520;0;46;0;note_on;80
11760;0;46;0;note_on;80
11760;0;61;0;note_off;64
11760;2;34;240;note_off;64
11760;0;46;0;note_off;64
11760;0;70;0;note_on;80
11760;0;61;0;note_on;80
11760;0;58;0;note_on;80
11760;0;70;240;note_off;64
11760;0;58;0;note_off;64
12000;2;34;240;note_on;80
12000;9;39;480;note_on;80
12240;0;46;0;note_on;80
12240;2;34;240;note_off;64
12240;0;61;0;note_on;80
12240;0;70;0;note_on;80
12240;0;46;0;note_off;64
12240;0;58;0;note_off;64
12240;0;58;0;note_on;80
12240;0;70;480;note_off;64
12240;0;61;0;note_off;64
12480;2;34;240;note_on;80
12480;9;39;480;note_off;64
12720;2;34;240;note_off;64
12720;0;46;0;note_on;80
12720;0;61;0;note_off;64
12720;0;58;0;note_off;64
12720;0;46;0;note_off;64
12720;0;70;0;note_on;80
12720;0;61;0;note_on;80
12720;0;58;0;note_on;80
12720;0;70;480;note_off;64
12960;9;39;480;note_on;80
12960;2;34;240;note_on;80
13200;0;46;0;note_on;80
13200;0;58;0;note_on;80
13200;0;61;0;note_on;80
13200;0;70;0;note_on;80
13200;0;46;0;note_off;64
13200;0;58;0;note_off;64
13200;0;61;0;note_off;64
13200;0;70;480;note_off;64
13200;2;34;240;note_off;64
13440;9;39;480;note_off;64
13440;2;34;240;note_on;80
13440;0;61;0;note_off;64
13440;0;70;240;note_off;64
13440;0;46;0;note_off;64
13440;0;58;0;note_off;64
13680;0;61;0;note_on;80
13680;0;70;240;note_on;80
13680;2;34;240;note_off;64
13680;0;58;0;note_on;80
13680;0;46;0;note_on;80
13920;2;34;240;note_on;80
13920;9;39;480;note_on;80
14160;2;34;240;note_off;64
14160;0;70;480;note_off;64
14160;0;58;0;note_on;80
14160;0;61;0;note_on;80
